time,x,y,button,pressed,abnormal
1734362902.6757376,1273,292,Button.left,True,False
1734362902.7482078,1273,292,Button.left,False,False
1734362903.1801581,1120,181,Button.left,True,False
1734362903.376516,873,473,Button.left,False,False
1734362904.8606331,457,422,Button.left,True,False
1734362904.947524,457,422,Button.left,False,False
1734362905.5109355,1320,533,Button.left,True,False
1734362905.8841443,927,660,Button.left,False,False
1734362907.9005322,1309,1041,Button.left,True,False
1734362908.0045962,1309,1041,Button.left,False,False
1734362921.1802375,1763,7,Button.left,True,False
1734362921.252179,1763,7,Button.left,False,False
1734362921.8200467,1423,181,Button.left,True,False
1734362921.9793475,933,543,Button.left,False,False
1734362922.1321547,903,580,Button.left,True,False
1734362922.2771876,1457,229,Button.left,False,False
1734362922.411434,1529,199,Button.left,True,False
1734362922.5642369,1022,680,Button.left,False,False
1734362922.684239,977,722,Button.left,True,False
1734362922.8198225,1419,359,Button.left,False,False
1734362922.9400628,1492,302,Button.left,True,False
1734362923.1162128,894,741,Button.left,False,False
1734362923.2445579,884,747,Button.left,True,False
1734362923.3882644,1403,323,Button.left,False,False
1734362923.5162833,1435,302,Button.left,True,False
1734362923.6681316,1082,593,Button.left,False,False
1734362939.1965296,1293,1055,Button.left,True,False
1734362939.256476,1293,1055,Button.left,False,False
1734362940.4421883,124,83,Button.left,True,False
1734362940.5555027,124,83,Button.left,False,False
1734362943.8866935,370,66,Button.left,True,False
1734362943.9524534,370,66,Button.left,False,False
1734362946.1565828,1761,0,Button.left,True,False
1734362946.2285626,1761,0,Button.left,False,False
1734362946.6599433,1342,202,Button.left,True,False
1734362946.7718034,902,607,Button.left,False,False
1734362946.8921356,856,626,Button.left,True,False
1734362947.0444362,1487,362,Button.left,False,False
1734362947.2442322,1520,337,Button.left,True,False
1734362947.3882606,1373,493,Button.left,False,False
1734362959.6556485,1139,1052,Button.left,True,False
1734362959.7398322,1139,1052,Button.left,False,False
1734362966.300601,536,0,Button.left,True,False
1734362966.3964183,536,0,Button.left,False,False
1734362967.9886446,312,476,Button.left,True,False
1734362968.0512795,312,476,Button.left,False,False
1734362968.1635523,312,476,Button.left,True,False
1734362968.216135,312,476,Button.left,False,False
1734362968.3315518,305,482,Button.left,True,False
1734362968.4038458,305,485,Button.left,False,False
1734362968.4995415,302,496,Button.left,True,False
1734362968.555508,302,496,Button.left,False,False
1734362968.6583395,302,496,Button.left,True,False
1734362968.7321837,302,496,Button.left,False,False
1734362968.8338642,301,503,Button.left,True,False
1734362968.8917224,301,503,Button.left,False,False
